ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-06T23:31:48.099370+00:00,1,1,8,500,888.091,2.738,890.829,connecting,48,0,0,0,32.3270959854126,53.13914583743297,2026-03-06T23:31:45.623302+00:00
2026-03-06T23:31:52.916845+00:00,0,0,19,1,5.158,0.046,5.204,open,48,3,0,0,51.728102684020996,49.202912812439344,2026-03-06T23:31:49.422106+00:00
2026-03-06T23:31:56.955474+00:00,1,1,36,14,26.216,0.584,26.8,open,48,3,0,0,51.728102684020996,49.202912812439344,2026-03-06T23:31:49.422106+00:00
2026-03-06T23:32:01.005038+00:00,1,1,47,7,10.81,0.449,11.258,open,0,13,0,0.5999999642372131,60.78740882873535,4.740459824602987,2026-03-06T23:31:57.561877+00:00
2026-03-06T23:32:05.051742+00:00,1,1,57,8,10.361,0.365,10.726,open,0,31,0,0.10000002384185791,73.17526435852051,2.37713199025376,2026-03-06T23:32:02.291995+00:00
2026-03-06T23:32:09.080684+00:00,1,1,69,9,30.607,0.274,30.881,open,0,0,0,0.09999996423721313,147.1985445022583,3.4106412005457027,2026-03-06T23:32:07.612669+00:00
2026-03-06T23:32:13.116026+00:00,1,1,79,9,10.089,0.379,10.468,open,0,0,0,0.19999998807907104,141.1474485397339,3.4896705750977124,2026-03-06T23:32:12.209912+00:00
2026-03-06T23:32:17.148736+00:00,1,1,90,8,16.234,1.041,17.275,open,0,0,0,0.19999998807907104,141.1474485397339,3.4896705750977124,2026-03-06T23:32:12.209912+00:00
2026-03-06T23:32:21.177835+00:00,1,1,102,7,9.436,0.409,9.845,open,0,23,0,0,88.80034446716309,2.952174768746308,2026-03-06T23:32:17.838402+00:00
2026-03-06T23:32:25.242282+00:00,1,1,113,7,8.564,0.339,8.903,open,0,7,0,0.09999996423721313,152.50235080718994,4.446750166753134,2026-03-06T23:32:22.510960+00:00
2026-03-06T23:32:29.290799+00:00,1,1,123,7,14.356,0.581,14.937,open,0,0,0,0.09999996423721313,106.62640380859375,2.6874496103197996,2026-03-06T23:32:27.673208+00:00
2026-03-06T23:32:33.307795+00:00,1,1,135,7,16.631,0.682,17.312,open,0,0,0,0.10000002384185791,172.83154487609863,2.813731007315689,2026-03-06T23:32:32.030717+00:00
2026-03-06T23:32:37.355758+00:00,1,1,147,8,9.437,0.514,9.951,open,0,0,0,0.10000002384185791,172.83154487609863,2.813731007315689,2026-03-06T23:32:32.030717+00:00
2026-03-06T23:32:41.386112+00:00,1,1,158,8,9.761,0.582,10.343,open,0,0,0,0.10000002384185791,131.20203018188477,4.617657923900985,2026-03-06T23:32:37.618666+00:00
2026-03-06T23:32:45.416541+00:00,1,1,168,7,7.953,0.318,8.271,open,0,0,0,0.19999998807907104,85.405930519104,7.336757153338246,2026-03-06T23:32:42.281397+00:00
2026-03-06T23:32:49.457969+00:00,1,1,180,7,7.504,0.264,7.767,open,0,7,0,0.09999996423721313,169.96081638336182,2.3087223530498253,2026-03-06T23:32:47.598865+00:00
2026-03-06T23:32:53.499798+00:00,1,1,191,8,8.088,0.532,8.62,open,0,0,0,0.09999996423721313,113.59458541870117,3.3348154735438027,2026-03-06T23:32:51.961599+00:00
2026-03-06T23:32:57.542061+00:00,1,1,201,7,8.124,0.331,8.455,open,0,0,0,0.09999996423721313,78.54969215393066,3.052192491606466,2026-03-06T23:32:57.360009+00:00
2026-03-06T23:33:01.576965+00:00,1,1,213,14,13.724,0.386,14.11,open,0,0,0,0.09999996423721313,78.54969215393066,3.052192491606466,2026-03-06T23:32:57.360009+00:00
2026-03-06T23:33:05.625031+00:00,1,1,224,14,12.085,0.36,12.445,open,0,0,0,0.09999996423721313,148.97032833099365,4.287551807917697,2026-03-06T23:33:02.000307+00:00
2026-03-06T23:33:09.670142+00:00,1,1,234,8,33.914,0.492,34.406,open,0,0,0,0.09999996423721313,83.25607872009277,1.2004801920768307,2026-03-06T23:33:07.588523+00:00
2026-03-06T23:33:13.720274+00:00,1,1,245,14,13.454,0.42,13.873,open,0,0,0,0.30000001192092896,151.89620399475098,2.3311381782155216,2026-03-06T23:33:11.814835+00:00
2026-03-06T23:33:17.767005+00:00,1,1,255,7,8.824,0.419,9.243,open,0,0,0,0.09999996423721313,122.58218002319336,2.2233338891667986,2026-03-06T23:33:17.566332+00:00
