ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-06T23:26:25.854296+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:31.918228+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:37.981580+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:44.016199+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:50.057398+00:00,,,,,,,,,,,,,,,
2026-03-06T23:26:56.155622+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:02.215866+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:08.252275+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:14.332655+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:20.415168+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:26.476919+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:32.517197+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:38.558728+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:44.652090+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:50.709370+00:00,,,,,,,,,,,,,,,
2026-03-06T23:27:56.779771+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:02.850169+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:08.891337+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:14.938274+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:20.985892+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:27.077995+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:33.143851+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:39.217997+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:45.269481+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:51.327593+00:00,,,,,,,,,,,,,,,
2026-03-06T23:28:57.386772+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:03.473650+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:09.528414+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:15.594148+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:21.655756+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:27.738183+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:33.816442+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:39.881450+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:45.963230+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:52.024834+00:00,,,,,,,,,,,,,,,
2026-03-06T23:29:58.091343+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:04.150698+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:10.231157+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:16.299203+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:22.331420+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:28.394265+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:34.424797+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:40.470698+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:46.567180+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:52.630203+00:00,,,,,,,,,,,,,,,
2026-03-06T23:30:58.691218+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:04.742954+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:10.807190+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:16.855487+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:22.915783+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:28.980991+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:35.045875+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:41.126777+00:00,,,,,,,,,,,,,,,
2026-03-06T23:31:46.504276+00:00,0,0,6,500,961.096,4.288,965.384,connecting,48,0,0,0,32.3270959854126,53.13914583743297,2026-03-06T23:31:45.623302+00:00
2026-03-06T23:31:51.218855+00:00,0,0,14,500,1765.892,4.847,1770.739,open,48,3,0,0,51.728102684020996,49.202912812439344,2026-03-06T23:31:49.422106+00:00
2026-03-06T23:31:55.256859+00:00,1,1,32,1,3.355,0.237,3.592,open,48,3,0,0,51.728102684020996,49.202912812439344,2026-03-06T23:31:49.422106+00:00
2026-03-06T23:31:59.305747+00:00,1,1,42,14,17.456,0.34,17.796,open,0,13,0,0.5999999642372131,60.78740882873535,4.740459824602987,2026-03-06T23:31:57.561877+00:00
2026-03-06T23:32:03.326133+00:00,1,1,53,7,11.976,0.407,12.383,open,0,31,0,0.10000002384185791,73.17526435852051,2.37713199025376,2026-03-06T23:32:02.291995+00:00
2026-03-06T23:32:07.369896+00:00,1,1,63,1,3.454,0.333,3.787,open,0,31,0,0.10000002384185791,73.17526435852051,2.37713199025376,2026-03-06T23:32:02.291995+00:00
2026-03-06T23:32:11.417234+00:00,1,1,75,7,9.141,0.304,9.445,open,0,0,0,0.09999996423721313,147.1985445022583,3.4106412005457027,2026-03-06T23:32:07.612669+00:00
2026-03-06T23:32:15.448371+00:00,1,1,87,7,11.003,0.422,11.425,open,0,0,0,0.19999998807907104,141.1474485397339,3.4896705750977124,2026-03-06T23:32:12.209912+00:00
2026-03-06T23:32:19.481515+00:00,1,1,96,7,8.222,0.433,8.655,open,0,23,0,0,88.80034446716309,2.952174768746308,2026-03-06T23:32:17.838402+00:00
2026-03-06T23:32:23.533532+00:00,1,1,108,7,9.507,0.399,9.906,open,0,7,0,0.09999996423721313,152.50235080718994,4.446750166753134,2026-03-06T23:32:22.510960+00:00
2026-03-06T23:32:27.626552+00:00,1,1,120,14,15.885,0.55,16.435,open,0,7,0,0.09999996423721313,152.50235080718994,4.446750166753134,2026-03-06T23:32:22.510960+00:00
2026-03-06T23:32:31.655732+00:00,1,1,131,14,26.409,0.542,26.951,open,0,0,0,0.09999996423721313,106.62640380859375,2.6874496103197996,2026-03-06T23:32:27.673208+00:00
2026-03-06T23:32:35.702175+00:00,1,1,141,7,11.507,0.337,11.844,open,0,0,0,0.10000002384185791,172.83154487609863,2.813731007315689,2026-03-06T23:32:32.030717+00:00
2026-03-06T23:32:39.737764+00:00,1,1,153,14,14.163,0.498,14.661,open,0,0,0,0.10000002384185791,131.20203018188477,4.617657923900985,2026-03-06T23:32:37.618666+00:00
2026-03-06T23:32:43.775934+00:00,1,1,165,7,9.243,0.266,9.508,open,0,0,0,0.19999998807907104,85.405930519104,7.336757153338246,2026-03-06T23:32:42.281397+00:00
2026-03-06T23:32:47.816764+00:00,1,1,174,7,8.303,0.312,8.615,open,0,7,0,0.09999996423721313,169.96081638336182,2.3087223530498253,2026-03-06T23:32:47.598865+00:00
2026-03-06T23:32:51.864635+00:00,1,1,186,14,12.4,0.34,12.739,open,0,7,0,0.09999996423721313,169.96081638336182,2.3087223530498253,2026-03-06T23:32:47.598865+00:00
2026-03-06T23:32:55.899180+00:00,1,1,197,14,18.841,0.439,19.28,open,0,0,0,0.09999996423721313,113.59458541870117,3.3348154735438027,2026-03-06T23:32:51.961599+00:00
2026-03-06T23:32:59.959422+00:00,1,1,207,8,9.448,0.411,9.859,open,0,0,0,0.09999996423721313,78.54969215393066,3.052192491606466,2026-03-06T23:32:57.360009+00:00
2026-03-06T23:33:04.055683+00:00,1,1,219,13,11.522,0.459,11.982,open,0,0,0,0.09999996423721313,148.97032833099365,4.287551807917697,2026-03-06T23:33:02.000307+00:00
2026-03-06T23:33:08.092612+00:00,1,1,230,7,11.226,0.332,11.558,open,0,0,0,0.09999996423721313,83.25607872009277,1.2004801920768307,2026-03-06T23:33:07.588523+00:00
2026-03-06T23:33:12.122404+00:00,1,1,240,14,14.908,0.606,15.514,open,0,0,0,0.30000001192092896,151.89620399475098,2.3311381782155216,2026-03-06T23:33:11.814835+00:00
2026-03-06T23:33:16.184069+00:00,1,1,252,7,8.962,0.411,9.373,open,0,0,0,0.30000001192092896,151.89620399475098,2.3311381782155216,2026-03-06T23:33:11.814835+00:00
2026-03-06T23:33:20.223521+00:00,1,1,262,7,8.708,0.452,9.16,open,0,0,0,0.09999996423721313,122.58218002319336,2.2233338891667986,2026-03-06T23:33:17.566332+00:00
2026-03-06T23:33:24.252942+00:00,1,1,273,7,8.982,0.393,9.375,open,0,8,0,0.09999996423721313,193.52664375305176,2.7040181710021005,2026-03-06T23:33:22.151800+00:00
2026-03-06T23:33:28.281821+00:00,1,1,285,7,7.092,0.276,7.368,open,0,0,0,0.09999996423721313,141.0510835647583,3.2622170026750243,2026-03-06T23:33:27.480258+00:00
2026-03-06T23:33:32.312728+00:00,1,1,294,8,17.984,0.275,18.259,open,0,0,0,0.09999996423721313,141.0510835647583,3.2622170026750243,2026-03-06T23:33:27.480258+00:00
2026-03-06T23:33:36.389690+00:00,1,1,306,7,10.918,0.459,11.377,open,0,8,0,0.10000002384185791,88.59062004089355,1.034928848641656,2026-03-06T23:33:32.435328+00:00
2026-03-06T23:33:40.465813+00:00,1,1,318,6,7.61,0.489,8.099,open,0,21,0,0.09999996423721313,99.61610889434814,1.5590894917368399,2026-03-06T23:33:37.942418+00:00
2026-03-06T23:33:44.537331+00:00,1,1,328,7,7.737,0.28,8.017,open,0,54,0,0.09999996423721313,179.89266777038574,0.8959770629871828,2026-03-06T23:33:42.422662+00:00
2026-03-06T23:33:48.621811+00:00,1,1,339,7,9.583,0.368,9.95,open,0,0,0,0.30000001192092896,102.47336006164551,2.308935580697319,2026-03-06T23:33:47.403295+00:00
2026-03-06T23:33:52.667608+00:00,1,1,351,7,9.078,0.347,9.425,open,0,14,0,0.09999996423721313,190.29018306732178,0.9528346831824679,2026-03-06T23:33:51.992627+00:00
2026-03-06T23:33:56.700991+00:00,1,1,360,7,8.162,0.371,8.533,open,0,14,0,0.09999996423721313,190.29018306732178,0.9528346831824679,2026-03-06T23:33:51.992627+00:00
2026-03-06T23:34:00.743353+00:00,1,1,372,7,8.347,0.44,8.786,open,0,0,0,0.09999996423721313,132.68192291259766,2.6876903780684533,2026-03-06T23:33:57.512997+00:00
2026-03-06T23:34:04.782642+00:00,1,1,383,6,15.221,0.462,15.682,open,0,0,0,0.10000002384185791,71.86838245391846,1.8376722817764166,2026-03-06T23:34:02.667311+00:00
2026-03-06T23:34:08.812280+00:00,1,1,393,7,8.486,0.397,8.884,open,0,28,0,0.30000001192092896,131.22127723693848,2.4336821611097936,2026-03-06T23:34:08.079411+00:00
2026-03-06T23:34:12.844843+00:00,1,1,404,7,7.96,0.302,8.262,open,0,28,0,0.30000001192092896,131.22127723693848,2.4336821611097936,2026-03-06T23:34:08.079411+00:00
2026-03-06T23:34:16.876285+00:00,1,1,416,7,8.884,0.35,9.233,open,0,35,0,0.09999996423721313,195.9002513885498,1.9788918205804749,2026-03-06T23:34:13.332905+00:00
2026-03-06T23:34:20.915294+00:00,1,1,426,6,42.437,0.637,43.074,open,0,42,0,0.30000001192092896,144.139630317688,1.9363583553862818,2026-03-06T23:34:17.978251+00:00
2026-03-06T23:34:24.969574+00:00,1,1,437,6,18.916,0.513,19.429,open,0,27,0,0.09999996423721313,199.57390689849854,1.4407145944388295,2026-03-06T23:34:24.234606+00:00
2026-03-06T23:34:29.019820+00:00,1,1,448,7,13.419,0.411,13.83,open,0,0,0,0.19999998807907104,98.9137372970581,0.5972823652381664,2026-03-06T23:34:27.283024+00:00
2026-03-06T23:34:33.051477+00:00,1,1,459,7,26.245,0.447,26.692,open,0,7,0,0.10000002384185791,71.95340728759766,1.259234385493623,2026-03-06T23:34:32.386467+00:00
2026-03-06T23:34:37.099207+00:00,1,1,470,7,10.253,0.753,11.006,open,0,7,0,0.10000002384185791,71.95340728759766,1.259234385493623,2026-03-06T23:34:32.386467+00:00
2026-03-06T23:34:41.178348+00:00,1,1,482,7,10.949,0.398,11.347,open,0,0,0,0.10000002384185791,114.40205669403076,2.33863423760526,2026-03-06T23:34:37.680518+00:00
2026-03-06T23:34:45.213546+00:00,1,1,492,7,10.723,0.281,11.004,open,0,36,0,0.09999996423721313,201.2995719909668,0.7898270278808904,2026-03-06T23:34:43.336456+00:00
2026-03-06T23:34:49.264876+00:00,1,1,503,7,15.746,0.613,16.359,open,0,0,0,0,118.09760093688965,1.9788918205804749,2026-03-06T23:34:47.055918+00:00
2026-03-06T23:34:53.296425+00:00,1,1,515,8,10.122,0.5,10.621,open,0,0,0,0.2999999523162842,150.89306640625,2.2798084960863387,2026-03-06T23:34:52.290873+00:00
2026-03-06T23:34:57.378142+00:00,1,1,525,8,12.221,0.414,12.635,open,0,0,0,0.2999999523162842,150.89306640625,2.2798084960863387,2026-03-06T23:34:52.290873+00:00
2026-03-06T23:35:01.402834+00:00,1,1,536,8,11.235,0.386,11.622,open,0,0,0,0,69.70715522766113,1.5937101572460737,2026-03-06T23:34:57.871994+00:00
