ts_utc,ws_total_connections,ws_station_connections,publish_count,publish_rows,publish_write_ms,publish_broadcast_ms,publish_total_ms,client_ws_status,client_ws_reconnects,client_pending_samples,client_pending_counts,client_render_ms,client_heap_mb,client_fps,client_last_seen
2026-03-07T00:04:51.877451+00:00,0,0,11,1,4.542,0.053,4.595,,,,,,,,
2026-03-07T00:04:56.027951+00:00,0,0,57,50,172.503,0.183,172.685,,,,,,,,
2026-03-07T00:05:00.072763+00:00,0,0,119,21,15.779,0.105,15.885,,,,,,,,
2026-03-07T00:05:04.131343+00:00,0,0,185,14,45.436,0.103,45.539,,,,,,,,
2026-03-07T00:05:08.252184+00:00,0,0,246,11,13.875,0.113,13.988,,,,,,,,
2026-03-07T00:05:12.312581+00:00,0,0,312,19,20.588,0.112,20.7,,,,,,,,
2026-03-07T00:05:16.354923+00:00,0,0,374,8,12.097,0.11,12.207,,,,,,,,
2026-03-07T00:05:20.444156+00:00,0,0,435,19,125.227,0.126,125.354,,,,,,,,
2026-03-07T00:05:24.488210+00:00,0,0,499,9,10.432,0.093,10.525,,,,,,,,
2026-03-07T00:05:28.526894+00:00,0,0,561,10,9.734,0.066,9.8,,,,,,,,
2026-03-07T00:05:32.700813+00:00,0,0,622,19,26.302,0.193,26.495,,,,,,,,
2026-03-07T00:05:36.739560+00:00,0,0,688,16,14.967,0.101,15.068,,,,,,,,
2026-03-07T00:05:40.783204+00:00,0,0,753,19,14.696,0.211,14.906,,,,,,,,
2026-03-07T00:05:44.826599+00:00,0,0,814,11,23.245,0.132,23.378,,,,,,,,
2026-03-07T00:05:48.869719+00:00,0,0,874,8,13.13,0.085,13.215,,,,,,,,
2026-03-07T00:05:52.924100+00:00,0,0,939,19,28.001,0.142,28.143,,,,,,,,
2026-03-07T00:05:56.999662+00:00,0,0,996,8,10.326,0.07,10.396,,,,,,,,
2026-03-07T00:06:01.031544+00:00,0,0,1060,17,14.315,0.222,14.537,,,,,,,,
